"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","130","basicAuthInvalidDataTest(String, String, String) Negative tests: wrong username","","2026-08-07","passed","2026-08-07","","api.authorization.AuthorizationUserTest","api.authorization.AuthorizationUserTest","basicAuthInvalidDataTest"
"","4272","configStepWithoutTypeCannotBeCreatedTest()","","2026-08-07","passed","2026-08-07","","api.ConfigStepsTest","api.ConfigStepsTest","configStepWithoutTypeCannotBeCreatedTest"
"","0","cannotCreateStepWithInvalidBasicCredentialsTest()","","2026-08-07","skipped","2026-08-07","","api.ConfigStepsTest","api.ConfigStepsTest","cannotCreateStepWithInvalidBasicCredentialsTest"
"","32543","adminUserCanLoginTest()","","2026-08-07","passed","2026-08-07","","ui.LoginTest","ui.LoginTest","adminUserCanLoginTest"
"","2646","adminCannotCreateProjectWithTheSameNameTest()","","2026-08-07","passed","2026-08-07","","api.project.PostProjectTest","api.project.PostProjectTest","adminCannotCreateProjectWithTheSameNameTest"
"","20656","testBuildResume()","","2026-08-07","passed","2026-08-07","","api.buildRun.RegularBuildRunTest","api.buildRun.RegularBuildRunTest","testBuildResume"
"","42628","adminSessionSeedsAuthenticatedBrowserTest()","","2026-08-07","passed","2026-08-07","","ui.AuthenticationTest","ui.AuthenticationTest","adminSessionSeedsAuthenticatedBrowserTest"
"","0","cannotUpdateNonExistingStepTest()","","2026-08-07","skipped","2026-08-07","","api.ConfigStepsTest","api.ConfigStepsTest","cannotUpdateNonExistingStepTest"
"","54","invalidBearerTokenAuthTest()","","2026-08-07","passed","2026-08-07","","api.authorization.AuthorizationUserTest","api.authorization.AuthorizationUserTest","invalidBearerTokenAuthTest"
"","0","cannotCreateStepForNonExistingConfigTest()","","2026-08-07","skipped","2026-08-07","","api.ConfigStepsTest","api.ConfigStepsTest","cannotCreateStepForNonExistingConfigTest"
"","22417","userCannotCreateProjectWithInvalidIdTest()","","2026-08-07","passed","2026-08-07","","ui.project.CreateProjectTest","ui.project.CreateProjectTest","userCannotCreateProjectWithInvalidIdTest"
"","3643","userCanDeleteBuildConfiguration()","","2026-08-07","passed","2026-08-07","","api.build.BuildConfigurationTest","api.build.BuildConfigurationTest","userCanDeleteBuildConfiguration"
"","0","system admin enters the app without login","","2026-08-07","skipped","2026-08-07","","ui.UsersEnterWithoutLoginTest","ui.UsersEnterWithoutLoginTest","systemAdminEntersAppWithoutLogin"
"","4166","configStepSuccessfullyCreatedTest()","","2026-08-07","passed","2026-08-07","","api.ConfigStepsTest","api.ConfigStepsTest","configStepSuccessfullyCreatedTest"
"","0","cannotDeleteConfigStepWithoutAuthTest()","","2026-08-07","skipped","2026-08-07","","api.ConfigStepsTest","api.ConfigStepsTest","cannotDeleteConfigStepWithoutAuthTest"
"","930","adminCannotDeleteNotExistingProjectByIdTest()","","2026-08-07","passed","2026-08-07","","api.project.DeleteProjectTest","api.project.DeleteProjectTest","adminCannotDeleteNotExistingProjectByIdTest"
"","1399","adminCanGetProjectByNameTest()","","2026-08-07","passed","2026-08-07","","api.project.GetProjectTest","api.project.GetProjectTest","adminCanGetProjectByNameTest"
"","7761","userCannotCreateProjectWithAlreadyExistingNameTest()","","2026-08-07","passed","2026-08-07","","ui.project.CreateProjectTest","ui.project.CreateProjectTest","userCannotCreateProjectWithAlreadyExistingNameTest"
"","222","adminCannotDeleteWithoutAuthTest()","","2026-08-07","passed","2026-08-07","","api.project.DeleteProjectTest","api.project.DeleteProjectTest","adminCannotDeleteWithoutAuthTest"
"","19701","buildRunCanBePausedTest()","","2026-08-07","passed","2026-08-07","","ui.buildRun.RegularBuildRunTest","ui.buildRun.RegularBuildRunTest","buildRunCanBePausedTest"
"","0","cannotGetConfigStepWithoutAuthTest()","","2026-08-07","skipped","2026-08-07","","api.ConfigStepsTest","api.ConfigStepsTest","cannotGetConfigStepWithoutAuthTest"
"","3774","configStepSuccessfulDeleteTest()","","2026-08-07","passed","2026-08-07","","api.ConfigStepsTest","api.ConfigStepsTest","configStepSuccessfulDeleteTest"
"","71","basicAuthInvalidDataTest(String, String, String) Negative tests: wrong password","","2026-08-07","passed","2026-08-07","","api.authorization.AuthorizationUserTest","api.authorization.AuthorizationUserTest","basicAuthInvalidDataTest"
"","22275","userCanCreateProjectTest()","","2026-08-07","passed","2026-08-07","","ui.project.CreateProjectTest","ui.project.CreateProjectTest","userCanCreateProjectTest"
"","17212","buildRunCanBeResumedAfterPauseTest()","","2026-08-07","passed","2026-08-07","","ui.buildRun.RegularBuildRunTest","ui.buildRun.RegularBuildRunTest","buildRunCanBeResumedAfterPauseTest"
"","12906","buildConfigurationCanNotBeCreatedWithAlreadyExistingNameTest()","","2026-08-07","passed","2026-08-07","","ui.buildconfiguration.BuildConfigurationTest","ui.buildconfiguration.BuildConfigurationTest","buildConfigurationCanNotBeCreatedWithAlreadyExistingNameTest"
