"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","146","adminCannotGetNotExistingProjectByIdTest()","","2026-07-13","passed","2026-07-13","","api.project.ProjectTest","api.project.ProjectTest","adminCannotGetNotExistingProjectByIdTest"
"","7927","userCannotCreateBuildConfigurationWithDuplicateId()","","2026-07-13","passed","2026-07-13","","api.build.BuildConfigurationTest","api.build.BuildConfigurationTest","userCannotCreateBuildConfigurationWithDuplicateId"
"","7214","adminCanCreateProjectAndGetItByIdTest()","","2026-07-13","passed","2026-07-13","","api.project.ProjectTest","api.project.ProjectTest","adminCanCreateProjectAndGetItByIdTest"
"","154","basicAuthInvalidDataTest(String, String, String) Negative tests: wrong password","","2026-07-13","passed","2026-07-13","","api.authorization.AuthorizationUserTest","api.authorization.AuthorizationUserTest","basicAuthInvalidDataTest"
"","2013","adminCanCreateProjectOnlyWithMandatoryParamsTest()","","2026-07-13","passed","2026-07-13","","api.project.ProjectTest","api.project.ProjectTest","adminCanCreateProjectOnlyWithMandatoryParamsTest"
"","1976","userCanCreateBuildConfiguration()","","2026-07-13","passed","2026-07-13","","api.build.BuildConfigurationTest","api.build.BuildConfigurationTest","userCanCreateBuildConfiguration"
"","8969","userCanCopyBuildConfiguration()","","2026-07-13","passed","2026-07-13","","api.build.BuildConfigurationTest","api.build.BuildConfigurationTest","userCanCopyBuildConfiguration"
"","440","adminCannotDoCRUDOperationsWithoutAuthTest()","","2026-07-13","passed","2026-07-13","","api.project.ProjectTest","api.project.ProjectTest","adminCannotDoCRUDOperationsWithoutAuthTest"
"","275","basicAuthTest()","","2026-07-13","passed","2026-07-13","","api.authorization.AuthorizationUserTest","api.authorization.AuthorizationUserTest","basicAuthTest"
"","234","basicAuthInvalidDataTest(String, String, String) Negative tests: all wrong","","2026-07-13","passed","2026-07-13","","api.authorization.AuthorizationUserTest","api.authorization.AuthorizationUserTest","basicAuthInvalidDataTest"
"","223","adminCannotGetProjectWithWrongLocator()","","2026-07-13","passed","2026-07-13","","api.project.ProjectTest","api.project.ProjectTest","adminCannotGetProjectWithWrongLocator"
"","925","userCannotCreateBuildConfigurationWithInvalidId()","","2026-07-13","passed","2026-07-13","","api.build.BuildConfigurationTest","api.build.BuildConfigurationTest","userCannotCreateBuildConfigurationWithInvalidId"
"","283","bearerTokenAuthTest()","","2026-07-13","passed","2026-07-13","","api.authorization.AuthorizationUserTest","api.authorization.AuthorizationUserTest","bearerTokenAuthTest"
"","197","basicAuthInvalidDataTest(String, String, String) Negative tests: wrong username","","2026-07-13","passed","2026-07-13","","api.authorization.AuthorizationUserTest","api.authorization.AuthorizationUserTest","basicAuthInvalidDataTest"
"","5261","adminCannotDeleteNotExistingProjectByIdTest()","","2026-07-13","passed","2026-07-13","","api.project.ProjectTest","api.project.ProjectTest","adminCannotDeleteNotExistingProjectByIdTest"
"","549","adminCannotCreateProjectWithTheSameNameTest()","","2026-07-13","passed","2026-07-13","","api.project.ProjectTest","api.project.ProjectTest","adminCannotCreateProjectWithTheSameNameTest"
"","4685","invalidBearerTokenAuthTest()","","2026-07-13","passed","2026-07-13","","api.authorization.AuthorizationUserTest","api.authorization.AuthorizationUserTest","invalidBearerTokenAuthTest"
"","1488","userCanDeleteBuildConfiguration()","","2026-07-13","passed","2026-07-13","","api.build.BuildConfigurationTest","api.build.BuildConfigurationTest","userCanDeleteBuildConfiguration"
